MACH,ALPHA_DEG,BETA_DEG,DELTA_ELEVON_L,DELTA_ELEVON_R,DELTA_RUDDER,CA,CN,CY,CLL,CM,CLN,XCP,ZCP
4.0,8.0,-8.0,0.0,0.0,0,0.0246398379138086,0.2017930386299949,0.0345,0.0076,-0.006,-0.0211,0,0
4.0,10.0,-8.0,0.0,0.0,0,0.0277228392696682,0.2431073676934824,0.0331,0.0084,-0.0079,-0.0209,0,0
4.0,12.0,-8.0,0.0,0.0,0,0.0310389300767989,0.2869233193670316,0.0331,0.0089,-0.0103,-0.0206,0,0
4.0,14.0,-8.0,0.0,0.0,0,0.0345802558991178,0.333677364838091,0.0,0.0,-0.0134,0.0,0,0
4.0,16.0,-8.0,0.0,0.0,0,0.0380281372814719,0.3836436807636766,0.0,0.0,-0.0176,0.0,0,0
4.0,-6.0,-4.0,0.0,0.0,0,0.0087794219840741,-0.0348083834550012,0.0317,-0.0049,0.0015,-0.0137,0,0
4.0,-4.0,-4.0,0.0,0.0,0,0.0105470081375418,-0.0050480188163496,0.0293,-0.003,0.0004,-0.0133,0,0
4.0,-2.0,-4.0,0.0,0.0,0,0.0123723850679923,0.0255837949447468,0.0268,-0.0017,-0.0007,-0.0126,0,0
4.0,0.0,-4.0,0.0,0.0,0,0.0142651659187154,0.0573,0.0245,-0.0004,-0.0019,-0.012,0,0
4.0,2.0,-4.0,0.0,0.0,0,0.0164098598251818,0.0903277210559514,0.0223,0.0009,-0.0031,-0.0114,0,0
4.0,4.0,-4.0,0.0,0.0,0,0.018864726135983,0.1249202361902852,0.0203,0.0021,-0.0045,-0.011,0,0
4.0,6.0,-4.0,0.0,0.0,0,0.0215497570013314,0.1614369313846907,0.0185,0.0031,-0.006,-0.0107,0,0
